state,act2017_participation,act2017_english,act2017_maths,act2017_reading,act2017_science,act2017_composite,sat2017_participation,sat2017_evidence_base,sat2017_maths,sat2017_total
Alabama,100,18.9,18.4,19.7,19.4,19.1,5,593,572,1165
Alaska,65,18.7,19.8,20.4,19.9,19.7,38,547,533,1080
Arizona,62,18.6,19.8,20.1,19.8,19.6,30,563,553,1116
Arkansas,100,18.9,19.0,19.7,19.5,19.2,3,614,594,1208
California,31,22.5,22.7,23.1,22.2,22.6,53,531,524,1055
Colorado,100,20.1,20.3,21.2,20.9,20.6,11,606,595,1201
Connecticut,31,25.5,24.6,25.6,24.6,25.1,100,530,512,1042
Delaware,18,24.1,23.4,24.8,23.6,24.0,100,503,492,995
District of Columbia,32,24.4,23.5,24.9,23.5,24.1,100,482,468,950
Florida,73,19.0,19.4,21.0,19.4,19.7,83,520,497,1017
Georgia,55,21.0,20.9,22.0,21.3,21.3,61,535,515,1050
Hawaii,90,17.8,19.2,19.2,19.3,18.9,55,544,541,1085
Idaho,38,21.9,21.8,23.0,22.1,22.2,93,513,493,1004
Illinois,93,21.0,21.2,21.6,21.3,21.3,9,559,556,1115
Indiana,35,22.0,22.4,23.2,22.3,22.5,63,542,532,1074
Iowa,67,21.2,21.3,22.6,22.1,21.7,2,641,635,1276
Kansas,73,21.1,21.3,22.3,21.7,21.6,4,632,628,1260
Kentucky,100,19.6,19.4,20.5,20.1,19.9,4,631,616,1247
Louisiana,100,19.4,18.8,19.8,19.6,19.4,4,611,586,1197
Maine,8,24.2,24.0,24.8,23.7,24.2,95,513,499,1012
Maryland,28,23.3,23.1,24.2,2.3,23.5,69,536,524,1060
Massachusetts,29,25.4,25.3,25.9,24.7,25.3,76,555,551,1106
Michigan,29,24.1,23.7,24.5,23.8,24.0,100,509,495,1004
Minnesota,100,20.4,21.5,21.8,21.6,21.3,3,644,651,1295
Mississippi,100,18.2,18.1,18.8,18.8,18.5,2,634,607,1241
Missouri,100,19.8,19.9,20.8,20.5,20.3,3,640,631,1271
Montana,100,19.0,20.2,21.0,20.5,20.3,10,605,591,1196
Nebraska,84,20.9,20.9,21.9,21.5,21.3,3,629,625,1254
Nevada,100,16.3,18.0,18.1,18.2,17.6,26,563,553,1116
New Hampshire,18,25.4,25.1,26.0,24.9,25.4,96,532,520,1051
New Jersey,34,23.8,23.8,24.1,23.2,23.7,70,530,526,1056
New Mexico,66,18.6,19.4,20.4,20.0,19.6,11,577,561,1138
New York,31,23.8,24.0,24.6,23.9,24.1,67,528,523,1051
North Carolina,100,17.8,19.3,19.6,19.3,19.0,49,546,535,1081
North Dakota,98,19.0,20.4,20.5,20.6,20.3,2,635,621,1256
Ohio,75,21.2,21.6,22.5,22.0,21.7,12,578,570,1148
Oklahoma,100,18.5,18.8,20.1,19.6,19.2,7,530,517,1047
Oregon,40,21.2,21.5,22.4,21.7,21.6,43,560,548,1108
Pennsylvania,23,23.4,23.4,24.2,23.3,23.6,65,540,531,1071
Rhode Island,21,24.0,23.3,24.7,23.4,23.9,71,539,524,1063
South Carolina,100,17.5,18.6,19.1,18.9,18.5,50,543,521,1064
South Dakota,80,20.7,21.5,22.3,22.0,21.6,3,612,603,1215
Tennessee,100,19.5,19.2,20.1,19.9,19.7,5,623,604,1227
Texas,45,19.5,20.7,21.1,20.9,20.6,62,513,507,1020
Utah,100,19.5,19.9,20.8,20.6,20.3,3,624,614,1238
Vermont,29,23.3,23.1,24.4,23.2,23.5,60,562,551,1113
Virginia,29,23.5,23.3,24.6,23.5,23.7,65,561,541,1102
Washington,29,20.9,21.9,22.1,22.0,21.7,64,541,534,1075
West Virginia,69,20.0,19.4,21.2,20.5,20.3,14,558,528,1086
Wisconsin,100,19.7,20.4,20.6,20.9,20.4,3,642,649,1291
Wyoming,100,19.4,19.8,20.8,20.6,20.1,3,626,604,1230
